subject_id,component_index,probability
s16,2,0.6267703771591187
s16,3,0.827532172203064
s16,4,0.9609490633010864
s16,5,0.6109218001365662
s16,6,0.7352021932601929
s16,7,0.9858720302581787
s16,8,0.9861971735954285
s17,0,0.40817099809646606
s17,2,0.7282013297080994
s17,3,0.9726028442382812
s17,4,0.9456025958061218
s17,5,0.9738582968711853
s17,7,0.8732191324234009
s17,8,0.998961865901947
s17,9,0.7884144186973572
s18,1,0.9735265970230103
s18,3,0.9081449508666992
s18,5,0.9618239402770996
s18,6,0.949982225894928
s18,7,0.8939770460128784
s18,8,0.8617472648620605
s18,9,0.8778125047683716
s19,1,0.8637489080429077
s19,2,0.5971015691757202
s19,3,0.9925596117973328
s19,4,0.9962847232818604
s19,5,0.9101448655128479
s19,7,0.7742354869842529
s19,8,0.9183453321456909
s19,9,0.9856680631637573
s20,3,0.9071547389030457
s20,4,0.9005071520805359
s20,5,0.9787994027137756
s20,6,0.9246415495872498
s20,7,0.9140799045562744
s20,8,0.9176891446113586
s20,9,0.5054080486297607
s21,1,0.546448290348053
s21,3,0.9765065908432007
s21,4,0.6757417917251587
s21,5,0.6438957452774048
s21,6,0.4294980466365814
s21,8,0.6770449876785278
s22,1,0.8608288764953613
s22,2,0.9891810417175293
s22,3,0.7881808876991272
s22,4,0.9995390176773071
s22,6,0.9929983019828796
s22,7,0.8818745017051697
s22,8,0.9730638861656189
s23,1,0.9435781240463257
s23,2,0.6591643691062927
s23,3,0.7420370578765869
s23,4,0.3880223333835602
s23,5,0.7807561159133911
s23,6,0.7771593928337097
s23,7,0.8738544583320618
s23,8,0.9794804453849792
s23,9,0.7558194994926453
s24,2,0.5853250622749329
s24,3,0.8632678985595703
s24,4,0.39462077617645264
s24,5,0.5457069873809814
s24,8,0.92649245262146
s24,9,0.5064302086830139
s25,2,0.9740103483200073
s25,3,0.7101786136627197
s25,4,0.9630286693572998
s25,5,0.9738487005233765
s25,6,0.950770378112793
s25,7,0.8840053081512451
s25,8,0.9623440504074097
s25,9,0.9717992544174194
s26,0,0.5527008175849915
s26,2,0.8927525281906128
s26,3,0.7469235062599182
s26,4,0.9238036274909973
s26,5,0.9941592216491699
s26,6,0.9881967306137085
s26,7,0.9646385908126831
s26,8,0.9856781363487244
s26,9,0.8234063982963562
s27,1,0.9532016515731812
s27,2,0.8780755996704102
s27,3,0.8383999466896057
s27,4,0.9803283214569092
s27,5,0.47075000405311584
s27,6,0.5793980360031128
s27,7,0.8634577989578247
s27,9,0.7316747903823853
s28,2,0.9163260459899902
s28,3,0.9779137969017029
s28,4,0.8113174438476562
s28,6,0.9341883063316345
s28,7,0.9159424304962158
s28,8,0.9975154399871826
s28,9,0.7686100006103516
s29,3,0.6280630230903625
s29,5,0.9265854954719543
s29,6,0.8260030746459961
s29,7,0.8326847553253174
s29,9,0.7284066677093506
s30,2,0.7429908514022827
s30,4,0.7404491901397705
s30,5,0.9046943783760071
s30,6,0.7325100898742676
s30,7,0.782055675983429
s30,8,0.672096848487854
s30,9,0.5688390135765076
s31,1,0.572780430316925
s31,2,0.5743184089660645
s31,3,0.500498354434967
s31,4,0.9936293363571167
s31,5,0.7224112749099731
s31,6,0.9124823212623596
s31,7,0.9801458716392517
s31,8,0.5971921682357788
s31,9,0.8855675458908081
s32,2,0.3390255868434906
s32,3,0.9909960031509399
s32,4,0.47125840187072754
s32,5,0.9851675033569336
s32,6,0.8947492837905884
s32,8,0.8931427597999573
s32,9,0.8586407899856567
